# n insertion_us merge_us
0 0.047500 0.032600
100 3.508700 3.567600
200 12.039300 8.734200
300 27.548900 16.457500
400 45.965700 23.243100
500 70.200000 31.956300
600 101.348800 41.161900
700 133.266500 50.711800
800 182.445400 62.859400
900 237.012000 97.553700
1000 172.065700 81.669000
1100 224.225000 93.901700
1200 265.440300 111.177900
1300 276.468700 122.335200
1400 318.331400 128.707000
1500 410.709400 172.049000
1600 487.389800 188.287100
1700 473.037900 162.052100
1800 452.474200 155.099400
1900 447.298100 145.464600
2000 484.982100 152.463800
2100 514.235300 161.044000
2200 548.986300 161.305700
2300 580.121900 164.823400
2400 633.790000 176.008800
2500 690.143000 183.719100
2600 731.120200 187.886300
2700 790.202500 201.157900
2800 917.065500 223.368900
2900 1005.480500 246.597400
3000 1068.560400 255.501300
3100 1118.718000 263.187700
3200 1156.727200 260.537700
3300 1176.965900 261.345600
3400 1279.617400 279.180800
3500 1339.149800 299.322000
3600 1420.763700 304.619400
3700 1416.174000 294.170200
3800 1517.252700 297.404000
3900 1575.861400 306.699300
4000 1669.436000 308.894900
4100 1797.360200 331.645900
4200 1908.953600 339.246800
4300 2070.658600 380.446900
4400 2055.373200 363.711400
4500 2095.935700 372.999200
4600 2218.374800 366.666300
4700 2529.728200 415.844700
4800 2698.207800 443.007100
4900 2534.271600 406.656800
5000 2586.009900 405.139300
5100 2695.637100 414.209500
5200 2819.561100 437.186000
5300 2991.201200 453.853900
5400 3005.080200 451.291500
5500 3127.331900 479.739600
5600 3216.609100 482.179600
5700 3306.869700 479.313800
5800 3463.426600 483.954700
5900 3589.428300 504.643800
6000 3692.966400 517.718300
6100 3871.124600 524.637800
6200 3948.198200 513.706600
6300 4149.961300 554.452200
6400 4282.092300 558.045000
6500 4447.091500 559.468900
6600 4685.027200 587.234200
6700 4622.061300 575.052000
6800 4745.144500 607.389000
6900 4859.895500 624.248300
7000 5108.660500 619.935200
7100 5167.744000 615.040800
7200 5270.189400 620.900000
7300 6207.451000 704.404300
7400 5737.702800 642.630600
7500 5765.179500 645.648400
7600 5959.381300 669.204700
7700 6139.947300 680.833200
7800 6333.563800 685.568000
7900 6390.273800 695.274700
8000 6516.393100 697.185600
8100 6811.138200 712.741000
8200 6919.366500 722.227500
8300 7051.198000 730.668900
8400 7270.280900 744.558500
8500 7601.699500 771.314200
8600 7578.273000 790.579300
8700 7797.802800 784.328300
8800 7856.840100 789.200100
8900 8085.833600 790.687700
9000 8255.714900 860.183600
9100 8606.791300 820.458900
9200 8886.646000 846.490000
9300 8717.639200 821.470800
9400 9116.307400 853.221200
9500 9202.758500 860.963700
9600 9426.560100 878.862300
9700 9593.183800 883.694100
9800 9777.966100 882.052300
9900 10046.028400 897.371000
10000 10132.963200 905.228800
